User id,Experience,Auto,Mode
603DR,24,Geely Coolray,Ездоки
604DR,6,Mazda CX-5,Ездоки
605DR,6,Lada Niva,Понемногу Рулим
606DR,21,Skoda Rapid,СМЗ/ИП
607DR,30,Renault Duster,Челябинск Авто
608DR,15,Haval Jolion,АвтоПарк
609DR,12,Hyundai Tucson,Честный драйвер
610DR,22,Lada Granta,Понемногу Рулим
611DR,34,Kia Rio,СМЗ/ИП
612DR,37,Geely Coolray,Таксасин
613DR,25,Hyundai Tucson,АвтоПарк
614DR,21,Lada Largus,Поневоле мы за рулем
615DR,39,Lada Granta,АвтоПарк
616DR,30,Toyota RAV4,СМЗ/ИП
617DR,13,Toyota RAV4,Топ парк ин зе ворлд
618DR,17,Skoda Rapid,Челябинск Авто
619DR,12,Renault Logan,Такси Для Души
620DR,12,Lada Largus,Топ парк ин зе ворлд
621DR,28,Lada Niva,Ильич Авто
622DR,30,Renault Logan,АвтоПарк
623DR,30,Haval F7,Таксасин
624DR,10,УАЗ Патриот,Ильич Авто
625DR,3,Haval Jolion,Таксасин
626DR,28,УАЗ Патриот,Ильич Авто
627DR,18,Kia Sportage,Честный драйвер
628DR,35,Lada Granta,АвтоПарк
629DR,22,Lada Vesta,Нормальный парк
630DR,28,Haval F7,Таксуя Жируя
631DR,16,Nissan Qashqai,СМЗ/ИП
632DR,25,УАЗ Патриот,Таксуя Жируя
633DR,18,УАЗ Патриот,Таксасин
634DR,12,Renault Sandero,Ездоки
635DR,30,Lada Vesta,Челябинск Авто
636DR,22,Skoda Rapid,Поневоле мы за рулем
637DR,23,VW Polo,Таксасин
638DR,11,Hyundai Creta,Топ парк ин зе ворлд
639DR,14,Renault Sandero,АвтоПарк
640DR,9,Renault Duster,Таксуя Жируя
641DR,3,VW Polo,Топ парк ин зе ворлд
642DR,21,Geely Atlas Pro,Челябинск Авто
643DR,18,VW Polo,Понемногу Рулим
644DR,10,Lada Niva,Топ парк ин зе ворлд
645DR,19,Geely Coolray,Таксуя Жируя
646DR,8,Hyundai Tucson,Поневоле мы за рулем
647DR,18,Lada Granta,Нормальный парк
648DR,36,Renault Duster,Таксасин
649DR,19,Haval F7,АвтоПарк
650DR,27,УАЗ Патриот,Нормальный парк
651DR,11,Kia Cerato,Топ парк ин зе ворлд
652DR,17,Toyota RAV4,Поневоле мы за рулем
653DR,11,Kia Rio,Ездоки
654DR,8,Kia Cerato,АвтоПарк
655DR,34,Renault Duster,Челябинск Авто
656DR,6,Kia Rio,Честный драйвер
657DR,40,Lada Granta,Честный драйвер
658DR,23,УАЗ Патриот,Челябинск Авто
659DR,38,Haval Jolion,Понемногу Рулим
660DR,19,Skoda Rapid,Ездоки
661DR,39,Lada Granta,Таксасин
662DR,30,Lada Granta,Таксасин
663DR,36,Lada Niva,Таксуя Жируя
664DR,10,Lada Niva,Понемногу Рулим
665DR,6,Lada Granta,Таксасин
666DR,34,Kia Sportage,Честный драйвер
667DR,23,Renault Logan,Честный драйвер
668DR,16,Renault Duster,Таксуя Жируя
669DR,14,Skoda Rapid,Поневоле мы за рулем
670DR,11,Toyota RAV4,Поневоле мы за рулем
671DR,19,VW Polo,Честный драйвер
672DR,37,Haval F7,АвтоПарк
673DR,15,Hyundai Tucson,Челябинск Авто
674DR,25,Toyota RAV4,Такси Для Души
675DR,33,Kia Rio,Таксасин
676DR,23,Kia Seltos,Честный драйвер
677DR,4,Renault Logan,АвтоПарк
678DR,35,Kia Cerato,Такси Для Души
679DR,32,Hyundai Solaris,Топ парк ин зе ворлд
680DR,26,Geely Coolray,Ездоки
681DR,35,Toyota RAV4,Топ парк ин зе ворлд
682DR,27,Toyota RAV4,Нормальный парк
683DR,19,Nissan X-Trail,АвтоПарк
684DR,16,Skoda Rapid,Ездоки
685DR,14,Lada Niva,Топ парк ин зе ворлд
686DR,40,Lada Granta,Ильич Авто
687DR,8,Nissan Qashqai,Челябинск Авто
688DR,22,Haval Jolion,Такси Для Души
689DR,29,Lada Largus,Топ парк ин зе ворлд
690DR,36,Renault Sandero,АвтоПарк
691DR,16,Hyundai Tucson,Честный драйвер
692DR,25,Haval Jolion,Таксасин
693DR,22,Renault Duster,Поневоле мы за рулем
694DR,17,Kia Sportage,СМЗ/ИП
695DR,23,Mazda CX-5,Ездоки
696DR,26,Renault Duster,Таксуя Жируя
697DR,17,Skoda Rapid,АвтоПарк
698DR,18,Renault Sandero,АвтоПарк
699DR,11,Kia Cerato,Честный драйвер
700DR,7,Lada Largus,Таксуя Жируя
701DR,15,Mazda CX-5,Нормальный парк
702DR,15,Geely Coolray,Поневоле мы за рулем
703DR,21,Kia Cerato,Нормальный парк
704DR,3,Lada Largus,Понемногу Рулим
705DR,17,Renault Duster,Ездоки
706DR,6,УАЗ Патриот,Поневоле мы за рулем
707DR,23,Renault Duster,Челябинск Авто
708DR,3,Geely Coolray,Поневоле мы за рулем
709DR,14,Lada Niva,Таксуя Жируя
710DR,20,Kia Sportage,Честный драйвер
711DR,18,Nissan X-Trail,Таксасин
712DR,13,Lada Vesta,Таксуя Жируя
713DR,19,Mazda CX-5,Таксасин
714DR,23,Hyundai Tucson,Челябинск Авто
715DR,34,Hyundai Creta,Топ парк ин зе ворлд
716DR,16,Hyundai Tucson,Таксуя Жируя
717DR,10,Haval Jolion,Таксуя Жируя
718DR,9,Lada Niva,Таксуя Жируя
719DR,39,Haval Jolion,Честный драйвер
720DR,17,Geely Atlas Pro,АвтоПарк
721DR,31,УАЗ Патриот,Нормальный парк
722DR,9,Kia Rio,Такси Для Души
723DR,3,Haval Jolion,Топ парк ин зе ворлд
724DR,8,Kia Rio,Челябинск Авто
725DR,6,Lada Largus,Таксуя Жируя
726DR,38,Renault Duster,СМЗ/ИП
727DR,38,УАЗ Патриот,Такси Для Души
728DR,18,Haval Jolion,Топ парк ин зе ворлд
729DR,12,Geely Atlas Pro,Ильич Авто
730DR,22,Lada Granta,Таксуя Жируя
731DR,20,Lada Largus,АвтоПарк
732DR,13,Kia Cerato,Ильич Авто
733DR,38,Renault Duster,Таксасин
734DR,37,Nissan X-Trail,Поневоле мы за рулем
735DR,6,Renault Logan,Такси Для Души
736DR,15,Kia Sportage,Честный драйвер
737DR,23,Hyundai Tucson,Таксуя Жируя
738DR,40,Kia Sportage,Таксуя Жируя
739DR,7,VW Polo,Честный драйвер
740DR,24,Lada Vesta,Ильич Авто
741DR,36,Haval Jolion,Ильич Авто
742DR,29,Haval Jolion,Таксасин
743DR,37,Hyundai Creta,Челябинск Авто
744DR,20,Renault Sandero,АвтоПарк
745DR,3,Toyota RAV4,Честный драйвер
746DR,27,Hyundai Creta,Ильич Авто
747DR,3,УАЗ Патриот,Ильич Авто
748DR,15,Nissan Qashqai,Такси Для Души
749DR,33,Geely Atlas Pro,Нормальный парк
750DR,8,Kia Rio,Поневоле мы за рулем
751DR,12,Lada Niva,СМЗ/ИП
752DR,18,УАЗ Патриот,Челябинск Авто
753DR,3,Geely Coolray,Ильич Авто
754DR,37,Renault Sandero,СМЗ/ИП
755DR,34,Geely Atlas Pro,Такси Для Души
756DR,11,Hyundai Tucson,Таксасин
757DR,24,Kia Seltos,Честный драйвер
758DR,10,Haval F7,СМЗ/ИП
759DR,18,Lada Niva,Такси Для Души
760DR,38,УАЗ Патриот,Топ парк ин зе ворлд
761DR,12,Lada Vesta,Таксуя Жируя
762DR,30,Mazda CX-5,СМЗ/ИП
763DR,15,УАЗ Патриот,АвтоПарк
764DR,17,УАЗ Патриот,Такси Для Души
765DR,28,VW Polo,Такси Для Души
766DR,9,Kia Seltos,Ильич Авто
767DR,30,УАЗ Патриот,Таксасин
768DR,31,Renault Logan,Поневоле мы за рулем
769DR,40,Renault Logan,Челябинск Авто
770DR,35,Kia Cerato,Нормальный парк
771DR,40,УАЗ Патриот,СМЗ/ИП
772DR,4,Renault Sandero,Понемногу Рулим
773DR,39,Lada Niva,АвтоПарк
774DR,23,VW Polo,Ездоки
775DR,11,VW Polo,Таксасин
776DR,36,Kia Rio,Нормальный парк
777DR,34,Hyundai Tucson,Топ парк ин зе ворлд
778DR,20,VW Polo,Челябинск Авто
779DR,40,Lada Vesta,СМЗ/ИП
780DR,9,Kia Rio,АвтоПарк
781DR,27,Nissan X-Trail,Такси Для Души
782DR,16,Skoda Rapid,Таксуя Жируя
783DR,28,Kia Sportage,Таксасин
784DR,20,Geely Atlas Pro,Нормальный парк
785DR,19,VW Polo,Таксасин
786DR,8,Nissan X-Trail,Честный драйвер
787DR,18,Skoda Rapid,Понемногу Рулим
788DR,10,Skoda Rapid,СМЗ/ИП
789DR,15,Hyundai Tucson,АвтоПарк
790DR,4,Renault Sandero,Поневоле мы за рулем
791DR,22,Geely Coolray,Понемногу Рулим
792DR,15,Nissan X-Trail,Нормальный парк
793DR,21,Haval F7,Ильич Авто
794DR,39,VW Polo,Таксасин
795DR,11,Hyundai Creta,Топ парк ин зе ворлд
796DR,11,Mazda CX-5,Нормальный парк
797DR,25,УАЗ Патриот,Ездоки
798DR,22,Lada Largus,Понемногу Рулим
799DR,12,Mazda CX-5,Поневоле мы за рулем
800DR,30,Mazda CX-5,Ильич Авто
801DR,35,Kia Rio,Понемногу Рулим
802DR,24,Hyundai Tucson,Поневоле мы за рулем
803DR,24,Renault Logan,АвтоПарк
804DR,14,Toyota RAV4,Нормальный парк
805DR,32,Toyota RAV4,Ильич Авто
806DR,35,Kia Rio,Нормальный парк
807DR,28,Lada Largus,Таксасин
808DR,20,Geely Atlas Pro,Топ парк ин зе ворлд
809DR,38,Lada Largus,Челябинск Авто
810DR,24,Kia Rio,Честный драйвер
811DR,4,Kia Seltos,АвтоПарк
812DR,9,Kia Cerato,Челябинск Авто
813DR,33,Renault Duster,Понемногу Рулим
814DR,21,Renault Logan,АвтоПарк
815DR,20,Geely Coolray,Таксуя Жируя
816DR,40,Toyota RAV4,Поневоле мы за рулем
817DR,25,VW Polo,Таксасин
818DR,13,Geely Atlas Pro,СМЗ/ИП
819DR,26,Lada Largus,СМЗ/ИП
820DR,24,Hyundai Tucson,Таксасин
821DR,25,Hyundai Solaris,Ездоки
822DR,15,Hyundai Creta,Таксуя Жируя
823DR,16,Nissan Qashqai,СМЗ/ИП
824DR,30,Haval F7,Поневоле мы за рулем
825DR,35,Geely Coolray,Ильич Авто
826DR,5,Haval Jolion,Таксуя Жируя
827DR,27,Lada Largus,Топ парк ин зе ворлд
828DR,37,Renault Sandero,Таксуя Жируя
829DR,20,Renault Duster,Таксуя Жируя
830DR,11,Renault Duster,Поневоле мы за рулем
831DR,39,Hyundai Tucson,Ильич Авто
832DR,5,Haval Jolion,СМЗ/ИП
833DR,25,Hyundai Creta,Поневоле мы за рулем
834DR,27,Toyota RAV4,Понемногу Рулим
835DR,26,Toyota RAV4,Такси Для Души
836DR,20,Hyundai Solaris,СМЗ/ИП
837DR,26,Lada Vesta,Честный драйвер
838DR,14,Lada Vesta,Ильич Авто
839DR,39,Haval F7,АвтоПарк
840DR,20,Nissan Qashqai,АвтоПарк
841DR,15,Lada Niva,АвтоПарк
842DR,28,Geely Coolray,Такси Для Души
843DR,13,Hyundai Solaris,Ездоки
844DR,19,Hyundai Tucson,Честный драйвер
845DR,3,Renault Duster,Таксуя Жируя
846DR,22,Renault Sandero,Поневоле мы за рулем
847DR,25,Renault Sandero,Топ парк ин зе ворлд
848DR,5,Hyundai Solaris,Такси Для Души
849DR,8,Haval F7,Таксуя Жируя
850DR,23,Nissan Qashqai,Ильич Авто
851DR,5,VW Polo,Таксасин
852DR,34,Toyota RAV4,Нормальный парк
853DR,15,Haval Jolion,Такси Для Души
854DR,4,Haval F7,АвтоПарк
855DR,39,Kia Cerato,Челябинск Авто
856DR,25,Nissan X-Trail,АвтоПарк
857DR,38,Hyundai Creta,Ильич Авто
858DR,32,Toyota RAV4,Нормальный парк
859DR,25,Kia Sportage,Поневоле мы за рулем
860DR,33,Haval F7,Топ парк ин зе ворлд
861DR,35,Kia Seltos,АвтоПарк
862DR,17,Kia Rio,Ездоки
863DR,3,Kia Seltos,Понемногу Рулим
864DR,19,Kia Cerato,АвтоПарк
865DR,20,Nissan Qashqai,Ильич Авто
866DR,20,Nissan X-Trail,СМЗ/ИП
867DR,34,Kia Rio,Таксуя Жируя
868DR,8,Kia Cerato,Таксуя Жируя
869DR,19,УАЗ Патриот,Таксуя Жируя
870DR,28,Kia Seltos,Ездоки
871DR,28,Kia Sportage,СМЗ/ИП
872DR,23,Lada Niva,Честный драйвер
873DR,38,Toyota RAV4,Нормальный парк
874DR,17,Geely Coolray,Ездоки
875DR,6,Haval F7,Честный драйвер
876DR,4,Kia Rio,Такси Для Души
877DR,12,Toyota RAV4,Нормальный парк
878DR,28,Renault Logan,Таксасин
879DR,16,Lada Vesta,АвтоПарк
880DR,31,Kia Cerato,Таксуя Жируя
881DR,33,Skoda Rapid,Понемногу Рулим
882DR,37,Renault Duster,Нормальный парк
883DR,29,Nissan Qashqai,Таксуя Жируя
884DR,24,Hyundai Creta,Таксуя Жируя
885DR,26,УАЗ Патриот,Такси Для Души
886DR,15,Nissan Qashqai,Нормальный парк
887DR,13,Lada Largus,Понемногу Рулим
888DR,27,Renault Sandero,Честный драйвер
889DR,26,Haval F7,СМЗ/ИП
890DR,5,Lada Niva,Ильич Авто
891DR,11,Kia Cerato,Ездоки
892DR,34,Hyundai Tucson,Таксасин
893DR,16,Hyundai Tucson,Такси Для Души
894DR,28,Lada Largus,АвтоПарк
895DR,20,Renault Logan,Ильич Авто
896DR,25,VW Polo,Топ парк ин зе ворлд
897DR,16,Renault Logan,Нормальный парк
898DR,27,Renault Duster,Топ парк ин зе ворлд
899DR,22,Mazda CX-5,Ездоки
900DR,8,Kia Rio,СМЗ/ИП
